name,industry,sector,website
Walmart,General Merchandisers,Retailing,http://www.walmart.com
Exxon Mobil,Petroleum Refining,Energy,http://www.exxonmobil.com
Chevron,Petroleum Refining,Energy,http://www.chevron.com
Berkshire Hathaway,Insurance: Property and Casualty (Stock),Financials,http://www.berkshirehathaway.com
Apple,"Computers, Office Equipment",Technology,http://www.apple.com
General Motors,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.gm.com
Phillips 66,Petroleum Refining,Energy,http://www.phillips66.com
General Electric,Diversified Financials,Financials,http://www.ge.com
Ford Motor,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.ford.com
CVS Health,Food and Drug Stores,Food & Drug Stores,http://www.cvshealth.com
McKesson,Wholesalers: Health Care,Wholesalers,http://www.mckesson.com
AT&T,Telecommunications,Telecommunications,http://www.att.com
Valero Energy,Petroleum Refining,Energy,http://www.valero.com
UnitedHealth Group,Health Care: Insurance and Managed Care,Health Care,http://www.unitedhealthgroup.com
Verizon,Telecommunications,Telecommunications,http://www.verizon.com
AmerisourceBergen,Wholesalers: Health Care,Wholesalers,http://www.amerisourcebergen.com
Fannie Mae,Diversified Financials,Financials,http://www.fanniemae.com
Costco,Specialty Retailers: Other,Retailing,http://www.costco.com
HP,"Computers, Office Equipment",Technology,http://www.hp.com
Kroger,Food and Drug Stores,Food & Drug Stores,http://www.thekrogerco.com
JP Morgan Chase,Commercial Banks,Financials,http://www.jpmorganchase.com
Express Scripts Holding,Health Care: Pharmacy and Other Services,Health Care,http://www.express-scripts.com
Bank of America Corp.,Commercial Banks,Financials,http://www.bankofamerica.com
IBM,Information Technology Services,Technology,http://www.ibm.com
Marathon Petroleum,Petroleum Refining,Energy,http://www.marathonpetroleum.com
Cardinal Health,Wholesalers: Health Care,Wholesalers,http://www.cardinal.com
Boeing,Aerospace and Defense,Aerospace & Defense,http://www.boeing.com
Citigroup,Commercial Banks,Financials,http://www.citigroup.com
Amazon.com,Internet Services and Retailing,Technology,http://www.amazon.com
Wells Fargo,Commercial Banks,Financials,http://www.wellsfargo.com
Microsoft,Computer Software,Technology,http://www.microsoft.com
Procter & Gamble,Household and Personal Products,Household Products,http://www.pg.com
Home Depot,Specialty Retailers: Other,Retailing,http://www.homedepot.com
Archer Daniels Midland,Food Production,"Food, Beverages & Tobacco",http://www.adm.com
Walgreens,Food and Drug Stores,Food & Drug Stores,http://www.walgreensbootsalliance.com
Target,General Merchandisers,Retailing,http://www.target.com
Johnson & Johnson,Pharmaceuticals,Health Care,http://www.jnj.com
Anthem,Health Care: Insurance and Managed Care,Health Care,http://www.antheminc.com
MetLife,"Insurance: Life, Health (stock)",Financials,http://www.metlife.com
Alphabet,Internet Services and Retailing,Technology,http://www.google.com
State Farm Insurance Cos.,Insurance: Property and Casualty (Mutual),Financials,http://www.statefarm.com
Freddie Mac,Diversified Financials,Financials,http://www.freddiemac.com
Comcast,Telecommunications,Telecommunications,http://www.comcastcorporation.com
PepsiCo,Food Consumer Products,"Food, Beverages & Tobacco",http://www.pepsico.com
United Technologies,Aerospace and Defense,Aerospace & Defense,http://www.utc.com
AIG,Insurance: Property and Casualty (Stock),Financials,http://www.aig.com
UPS,"Mail, Package, and Freight Delivery",Transportation,http://www.ups.com
Dow Chemical,Chemicals,Chemicals,http://www.dow.com
Aetna,Health Care: Insurance and Managed Care,Health Care,http://www.aetna.com
Lowe's,Specialty Retailers: Other,Retailing,http://www.lowes.com
ConocoPhillips,"Mining, Crude-Oil Production",Energy,http://www.conocophillips.com
Intel,Semiconductors and Other Electronic Components,Technology,http://www.intel.com
Energy Transfer Equity,Pipelines,Energy,http://www.energytransfer.com
Caterpillar,Construction and Farm Machinery,Industrials,http://www.caterpillar.com
Prudential Financial,"Insurance: Life, Health (stock)",Financials,http://www.prudential.com
Pfizer,Pharmaceuticals,Health Care,http://www.pfizer.com
Walt Disney,Entertainment,Media,http://www.disney.com
Humana,Health Care: Insurance and Managed Care,Health Care,http://www.humana.com
Enterprise Products Partners,Pipelines,Energy,http://www.enterpriseproducts.com
Cisco Systems,Network and Other Communications Equipment,Technology,http://www.cisco.com
Sysco,Wholesalers: Food and Grocery,Wholesalers,http://www.sysco.com
Ingram Micro,Wholesalers: Electronics and Office Equipment,Wholesalers,http://www.ingrammicro.com
Coca-Cola,Beverages,"Food, Beverages & Tobacco",http://www.coca-colacompany.com
Lockheed Martin,Aerospace and Defense,Aerospace & Defense,http://www.lockheedmartin.com
FedEx,"Mail, Package, and Freight Delivery",Transportation,http://www.fedex.com
Johnson Controls,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.johnsoncontrols.com
Plains GP Holdings,Pipelines,Energy,http://www.plainsallamerican.com
World Fuel Services,Wholesalers: Diversified,Wholesalers,http://www.wfscorp.com
CHS,Food Production,"Food, Beverages & Tobacco",http://www.chsinc.com
American Airlines Group,Airlines,Transportation,http://www.aa.com
Merck,Pharmaceuticals,Health Care,http://www.merck.com
Best Buy,Specialty Retailers: Other,Retailing,http://www.bestbuy.com
Delta Air Lines,Airlines,Transportation,http://www.delta.com
Honeywell International,"Electronics, Electrical Equip.",Industrials,http://www.honeywell.com
HCA Holdings,Health Care: Medical Facilities,Health Care,http://www.hcahealthcare.com
Goldman Sachs Group,Commercial Banks,Financials,http://www.gs.com
Tesoro,Petroleum Refining,Energy,http://www.tsocorp.com
Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Financials,http://www.libertymutual.com
United Continental Holdings,Airlines,Transportation,http://www.unitedcontinentalholdings.com
New York Life Insurance,"Insurance: Life, Health (Mutual)",Financials,http://www.newyorklife.com
Oracle,Computer Software,Technology,http://www.oracle.com
Morgan Stanley,Commercial Banks,Financials,http://www.morganstanley.com
Tyson Foods,Food Production,"Food, Beverages & Tobacco",http://www.tysonfoods.com
Safeway,Food and Drug Stores,Food & Drug Stores,http://www.safeway.com
Nationwide,Insurance: Property and Casualty (Mutual),Financials,http://www.nationwide.com
Deere,Construction and Farm Machinery,Industrials,http://www.johndeere.com
DuPont,Chemicals,Chemicals,http://www.dupont.com
American Express,Commercial Banks,Financials,http://www.americanexpress.com
Allstate,Insurance: Property and Casualty (Stock),Financials,http://www.allstate.com
Cigna,Health Care: Insurance and Managed Care,Health Care,http://www.cigna.com
Mondelez International,Food Consumer Products,"Food, Beverages & Tobacco",http://www.mondelezinternational.com
TIAA-CREF,"Insurance: Life, Health (Mutual)",Financials,http://www.tiaa-cref.org
INTL FCStone,Diversified Financials,Financials,http://www.intlfcstone.com
Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",Financials,http://www.massmutual.com
DirecTV,Telecommunications,Telecommunications,http://www.directv.com
Halliburton,"Oil and Gas Equipment, Services",Energy,http://www.halliburton.com
Twenty-First Century Fox,Entertainment,Media,http://www.21cf.com
3M,zMiscellaneous,Household Products,http://www.3m.com
Sears Holdings,General Merchandisers,Retailing,http://www.searsholdings.com
General Dynamics,Aerospace and Defense,Aerospace & Defense,http://www.generaldynamics.com
Publix Super Markets,Food and Drug Stores,Food & Drug Stores,http://www.publix.com
Philip Morris International,Tobacco,"Food, Beverages & Tobacco",http://www.pmi.com
TJX,Specialty Retailers: Apparel,Retailing,http://www.tjx.com
Time Warner,Entertainment,Media,http://www.timewarner.com
Macy's,General Merchandisers,Retailing,http://www.macysinc.com
Nike,Apparel,Apparel,http://www.nike.com
Tech Data,Wholesalers: Electronics and Office Equipment,Wholesalers,http://www.techdata.com
Avnet,Wholesalers: Electronics and Office Equipment,Wholesalers,http://www.avnet.com
Northwestern Mutual,"Insurance: Life, Health (Mutual)",Financials,http://www.northwesternmutual.com
McDonald's,Food Services,"Hotels, Resturants & Leisure",http://www.aboutmcdonalds.com
Exelon,Utilities: Gas and Electric,Energy,http://www.exeloncorp.com
